ComuneCercaOLD,Comune_residenza_old_MANUALE,appoggio,Comune_residenza,Frequenza sinistri 2021,Costo Medio Totale 2021,Veicoli Anno 2021,Frequenza sinistri 2020,Costo Medio totale 2020,Veicoli Anno 2020,Frequenza sinistri 2019,Costo Medio totale 2019,Veicoli Anno 2019,Frequenza sinistri 2018,Costo Medio totale 2018,Veicoli Anno 2018,Regione,Provincia,Zona
Pergola,,,Pergola,0.027755972,2091.229167,3458.715068,0.027348867,18723.10638,3437.071038,0.037087872,4556.53125,3451.263014,0.036827622,3537.75,3475.652055,Marche,Pesaro e Urbino,Centro
Serra de' Conti,,,Serra de' Conti,0.023268305,4461.510638,2019.915068,0.03005149,23234.72581,2063.125683,0.032888286,5083.088235,2067.605479,0.035021898,12595.9322,1684.660274,Marche,Ancona,Centro
Piandimeleto,,,Piandimeleto,0.025092809,3334.565217,916.5972603,0.020930552,5715.2,955.5409836,0.051076668,15847.72,978.9205479,0.043803379,3217.071429,958.830137,Marche,Pesaro e Urbino,Centro
Pesaro,,,Pesaro,0.042280917,5685.980402,47066.15068,0.03486328,3970.546758,46008.29235,0.049844182,2993.214444,45281.11233,0.052019059,3742.727077,44656.70959,Marche,Pesaro e Urbino,Centro
Petriano,,,Petriano,0.043850165,3062.466667,1368.29589,0.029070158,2772.153846,1341.581967,0.042664233,4453.070175,1336.013699,0.049320018,3043.446154,1317.923288,Marche,Pesaro e Urbino,Centro
Piobbico,,,Piobbico,0.024574592,1918.73913,935.9260274,0.031332286,2017.724138,925.5628415,0.035482792,2504.352941,958.2109589,0.04600098,5027.159091,956.5013699,Marche,Pesaro e Urbino,Centro
Saltara,Saltara,,Colli al Metauro,0.037428529,3060.596774,6625.961644,0.030262762,6498.066327,6476.606557,0.047580898,2718.300971,6494.20274,0.042763624,3703.870849,6337.161644,Marche,Pesaro e Urbino,Centro
San Costanzo,,,San Costanzo,0.030132276,3079.540541,2455.838356,0.03357077,3485.646341,2442.601093,0.044660287,4185.754545,2463.038356,0.042088859,11177.57426,2399.684932,Marche,Pesaro e Urbino,Centro
San Giorgio di Pesaro,San Giorgio di Pesaro,,Terre Roveresche,0.035791332,3529.632075,2961.610959,0.025526104,2600.236842,2977.344262,0.038527069,3503.619469,2933.00274,0.031454701,2293.808989,2829.465753,Marche,Pesaro e Urbino,Centro
San Lorenzo in Campo,,,San Lorenzo in Campo,0.031218165,6561.982143,1793.827397,0.026235919,3684.765957,1791.437158,0.038763218,4044.728571,1805.835616,0.037288879,3706.617647,1823.6,Marche,Pesaro e Urbino,Centro
